Date time,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Precipitation,Visibility,Cloud Cover
2014-01-01,24.83,16.06,59.23,29.06,13.9,0.0,5.5,69.4
2014-01-02,22.33,16.33,69.94,27.61,6.9,0.0,4.3,79.5
2014-01-02,26.11,14.94,50.27,29.06,9.2,0.0,5.0,28.3
2014-01-03,17.67,14.33,81.0,21.08,2.2,0.0,6.2,30.0
2014-01-03,27.33,17.5,55.33,30.78,9.2,0.0,5.7,43.6
2014-01-04,26.56,9.61,36.73,29.83,11.4,0.0,5.6,35.0
2014-01-04,28.28,6.78,26.01,29.11,9.2,0.0,6.2,80.0
2014-01-05,22.5,15.67,69.64,23.83,10.3,0.0,4.5,32.5
2014-01-05,30.06,9.94,29.11,30.5,9.2,0.0,6.2,15.0
2014-01-06,29.17,8.72,30.03,31.0,11.4,0.0,5.7,25.7
2014-01-07,25.0,12.83,51.97,29.33,11.4,0.0,5.8,20.0
2014-01-07,29.11,9.5,29.66,29.44,12.8,0.0,6.2,30.0
2014-01-08,20.67,16.17,75.5,22.27,12.8,0.0,6.2,37.5
2014-01-08,27.39,15.06,47.5,29.67,11.4,0.0,6.2,43.3
2014-01-09,26.11,15.44,53.77,30.56,13.9,0.0,5.0,22.5
2014-01-09,27.78,14.39,44.12,29.67,6.9,0.0,6.2,12.5
2014-01-10,23.83,16.72,65.93,29.17,5.8,0.0,4.6,36.7
2014-01-10,28.33,14.28,42.14,29.67,4.7,0.0,6.2,20.0
2014-01-11,27.78,13.5,44.27,30.72,6.9,0.0,6.0,36.0
2014-01-12,26.17,14.22,52.11,30.33,3.4,0.0,4.3,35.0
2014-01-12,30.72,9.39,27.34,31.0,3.4,0.0,6.2,20.0
2014-01-13,19.78,16.78,82.85,20.4,5.8,0.0,4.0,55.0
2014-01-13,28.5,12.17,37.49,30.72,10.3,0.0,5.6,36.2
2014-01-14,27.0,12.06,40.66,29.61,10.3,0.0,6.2,23.3
2014-01-14,29.0,11.56,34.14,29.78,8.1,0.0,6.2,30.0
2014-01-15,23.72,14.72,57.92,25.16,8.1,0.0,5.8,13.3
2014-01-15,29.61,13.17,36.7,30.0,8.1,0.0,6.2,41.3
2014-01-16,27.17,16.56,53.59,30.89,10.3,0.0,6.2,45.0
2014-01-17,25.72,15.22,54.1,29.39,8.1,0.0,5.0,16.0
2014-01-17,28.06,13.39,40.5,29.67,9.2,0.0,5.6,62.5
2014-01-18,20.67,16.67,78.09,21.77,9.2,0.0,4.3,65.0
2014-01-18,27.89,14.28,44.27,30.56,8.1,0.0,5.7,49.0
2014-01-19,25.56,17.06,61.19,29.94,11.4,0.0,6.0,57.1
2014-01-19,28.06,15.17,45.52,29.94,12.8,0.0,6.2,45.0
2014-01-20,22.72,17.72,73.6,23.58,13.9,0.0,6.2,65.0
2014-01-20,27.67,15.44,47.26,29.78,13.9,0.0,6.2,60.0
2014-01-21,25.11,14.56,53.39,28.78,12.8,0.0,5.5,48.9
2014-01-22,24.0,15.22,59.5,27.78,13.9,0.0,6.0,48.3
2014-01-22,27.28,13.56,43.01,28.78,12.8,0.0,6.2,40.0
2014-01-23,19.78,15.72,77.69,21.66,8.1,0.0,5.6,37.5
2014-01-23,27.67,13.22,41.64,30.0,9.2,0.0,6.2,43.3
2014-01-24,26.39,16.5,56.65,31.33,6.9,0.0,6.0,36.4
2014-01-24,29.17,14.39,40.71,30.56,6.9,0.0,6.2,42.5
2014-01-25,23.28,15.61,62.38,24.77,12.8,0.0,5.6,56.7
2014-01-25,29.22,13.94,39.39,30.56,11.4,0.0,6.2,46.7
2014-01-26,26.22,14.06,48.44,29.67,18.3,0.0,6.0,22.1
2014-01-27,24.61,14.78,55.9,28.56,15.0,0.0,6.0,33.3
2014-01-27,27.44,13.0,40.87,28.56,13.9,0.0,6.2,47.5
2014-01-28,19.78,16.39,80.87,20.91,8.1,0.0,6.2,42.5
2014-01-28,27.39,12.28,39.4,28.94,12.8,0.0,6.2,29.4
2014-01-29,26.0,14.44,52.13,29.61,9.2,0.0,5.6,46.2
2014-01-29,28.39,10.67,33.25,28.78,5.8,0.0,6.2,30.0
2014-01-30,22.5,15.06,64.11,24.31,8.1,0.0,5.3,45.0
2014-01-30,28.39,13.28,39.49,29.39,8.1,0.0,5.5,40.0
2014-01-31,26.89,11.72,40.95,29.61,10.3,0.0,6.0,26.0
2014-02-01,25.0,16.83,61.71,29.06,11.4,0.0,6.2,47.0
2014-02-01,29.0,14.72,42.06,30.28,8.1,0.0,6.2,60.0
2014-02-02,22.0,16.5,71.06,23.43,10.3,0.0,5.6,37.5
2014-02-02,28.56,15.5,45.8,30.28,11.4,0.0,6.1,24.4
2014-02-03,27.56,11.39,38.74,31.11,10.3,0.0,5.9,12.5
2014-02-03,31.17,8.28,24.28,31.0,5.8,0.0,6.2,30.0
2014-02-04,25.0,15.61,57.22,27.61,8.1,0.0,5.3,15.0
2014-02-04,31.61,10.33,27.16,31.28,10.3,0.0,6.2,30.0
2014-02-05,29.67,8.83,30.08,31.61,9.2,0.0,5.8,15.0
2014-02-06,28.61,9.44,32.01,31.0,9.2,0.0,5.6,15.0
2014-02-06,31.89,4.5,17.85,30.72,10.3,0.0,6.2,15.0
2014-02-07,24.0,7.28,34.41,26.5,8.1,0.0,6.2,30.0
2014-02-07,30.78,3.5,17.91,30.67,10.3,0.0,6.2,3.3
2014-02-08,28.72,6.0,25.44,30.78,11.4,0.0,5.9,22.5
2014-02-08,31.28,4.72,18.99,30.67,8.1,0.0,6.2,30.0
2014-02-09,25.5,9.72,37.95,27.17,6.9,0.0,5.6,15.0
2014-02-09,31.83,6.72,21.15,31.83,5.8,0.0,5.8,13.3
2014-02-10,29.33,13.83,41.26,32.67,5.8,0.0,4.6,39.4
2014-02-11,27.78,7.61,28.2,30.33,11.4,0.0,6.2,30.0
2014-02-11,31.28,8.33,24.12,31.11,4.7,0.0,6.2,30.0
2014-02-12,23.0,13.17,54.94,24.96,10.3,0.0,5.0,15.0
2014-02-12,29.89,9.0,27.36,30.33,11.4,0.0,6.2,40.0
2014-02-13,27.89,16.22,50.46,31.5,10.3,0.0,6.2,40.0
2014-02-13,31.17,14.17,35.61,31.5,5.8,0.0,6.2,50.0
2014-02-14,23.83,19.22,76.12,24.41,4.7,0.0,3.4,65.0
2014-02-14,31.0,15.83,40.82,32.33,5.8,0.0,5.4,50.0
2014-02-15,28.17,17.44,54.36,31.5,6.9,0.0,5.5,60.5
2014-02-16,26.61,16.11,53.41,29.94,8.1,0.0,6.2,63.3
2014-02-16,28.78,16.72,48.31,29.94,5.8,0.0,6.2,67.5
2014-02-17,24.56,14.78,55.17,28.22,2.2,0.0,6.2,40.0
2014-02-17,30.89,12.72,33.32,32.17,6.9,0.0,6.2,55.0
2014-02-18,27.22,18.72,60.61,32.33,15.0,0.0,4.8,68.5
2014-02-18,29.67,17.5,48.13,31.78,9.2,0.0,6.2,55.0
2014-02-19,24.17,18.39,71.02,25.04,9.2,0.0,5.0,67.0
2014-02-19,29.61,16.89,46.44,32.33,9.2,0.0,6.2,51.7
2014-02-20,27.0,17.33,57.39,31.78,9.2,0.0,5.1,61.0
2014-02-21,25.83,19.33,68.53,32.39,5.8,0.0,5.6,46.6
2014-02-21,31.17,17.33,43.99,33.44,4.7,0.0,6.2,59.9
2014-02-22,22.56,17.78,74.85,23.33,4.7,0.0,4.6,55.1
2014-02-22,30.67,14.28,37.57,33.0,5.8,0.0,5.7,37.1
2014-02-23,28.11,14.67,47.86,31.94,8.1,0.0,5.9,31.9
2014-02-23,31.17,11.06,29.0,31.72,8.1,0.0,6.2,30.0
2014-02-24,25.33,13.5,50.12,28.39,12.8,0.0,6.2,15.0
2014-02-24,30.06,16.33,44.18,33.5,15.0,0.0,6.2,59.9
2014-02-25,27.39,17.56,56.5,31.39,12.8,0.0,5.6,68.8
