Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Precipitation,Visibility,Cloud Cover,month,year,season,is_festival,is_extreme_heat,temp_anomaly
24.83,16.06,59.23,29.06,13.9,0,5.5,69.4,1,2014,0,1,0,0.01
22.33,16.33,69.94,27.61,6.9,0,4.3,79.5,1,2014,0,0,0,-2.49
26.11,14.94,50.27,29.06,9.2,0,5,28.3,1,2014,0,0,0,1.29
17.67,14.33,81,21.08,2.2,0,6.2,30,1,2014,0,0,0,-7.15
27.33,17.5,55.33,30.78,9.2,0,5.7,43.6,1,2014,0,0,0,2.51
26.56,9.61,36.73,29.83,11.4,0,5.6,35,1,2014,0,0,0,1.74
28.28,6.78,26.01,29.11,9.2,0,6.2,80,1,2014,0,0,0,3.46
22.5,15.67,69.64,23.83,10.3,0,4.5,32.5,1,2014,0,0,0,-2.32
30.06,9.94,29.11,30.5,9.2,0,6.2,15,1,2014,0,0,0,5.24
29.17,8.72,30.03,31,11.4,0,5.7,25.7,1,2014,0,0,0,4.35
25,12.83,51.97,29.33,11.4,0,5.8,20,1,2014,0,0,0,0.18
29.11,9.5,29.66,29.44,12.8,0,6.2,30,1,2014,0,0,0,4.29
20.67,16.17,75.5,22.27,12.8,0,6.2,37.5,1,2014,0,0,0,-4.15
27.39,15.06,47.5,29.67,11.4,0,6.2,43.3,1,2014,0,0,0,2.57
26.11,15.44,53.77,30.56,13.9,0,5,22.5,1,2014,0,0,0,1.29
27.78,14.39,44.12,29.67,6.9,0,6.2,12.5,1,2014,0,0,0,2.96
23.83,16.72,65.93,29.17,5.8,0,4.6,36.7,1,2014,0,0,0,-0.99
28.33,14.28,42.14,29.67,4.7,0,6.2,20,1,2014,0,0,0,3.51
27.78,13.5,44.27,30.72,6.9,0,6,36,1,2014,0,0,0,2.96
26.17,14.22,52.11,30.33,3.4,0,4.3,35,1,2014,0,0,0,1.35
30.72,9.39,27.34,31,3.4,0,6.2,20,1,2014,0,0,0,5.9
19.78,16.78,82.85,20.4,5.8,0,4,55,1,2014,0,0,0,-5.04
28.5,12.17,37.49,30.72,10.3,0,5.6,36.2,1,2014,0,0,0,3.68
27,12.06,40.66,29.61,10.3,0,6.2,23.3,1,2014,0,1,0,2.18
29,11.56,34.14,29.78,8.1,0,6.2,30,1,2014,0,1,0,4.18
23.72,14.72,57.92,25.16,8.1,0,5.8,13.3,1,2014,0,0,0,-1.1
29.61,13.17,36.7,30,8.1,0,6.2,41.3,1,2014,0,0,0,4.79
27.17,16.56,53.59,30.89,10.3,0,6.2,45,1,2014,0,0,0,2.35
25.72,15.22,54.1,29.39,8.1,0,5,16,1,2014,0,0,0,0.9
28.06,13.39,40.5,29.67,9.2,0,5.6,62.5,1,2014,0,0,0,3.24
20.67,16.67,78.09,21.77,9.2,0,4.3,65,1,2014,0,0,0,-4.15
27.89,14.28,44.27,30.56,8.1,0,5.7,49,1,2014,0,0,0,3.07
25.56,17.06,61.19,29.94,11.4,0,6,57.1,1,2014,0,0,0,0.74
28.06,15.17,45.52,29.94,12.8,0,6.2,45,1,2014,0,0,0,3.24
22.72,17.72,73.6,23.58,13.9,0,6.2,65,1,2014,0,0,0,-2.1
27.67,15.44,47.26,29.78,13.9,0,6.2,60,1,2014,0,0,0,2.85
25.11,14.56,53.39,28.78,12.8,0,5.5,48.9,1,2014,0,0,0,0.29
24,15.22,59.5,27.78,13.9,0,6,48.3,1,2014,0,0,0,-0.82
27.28,13.56,43.01,28.78,12.8,0,6.2,40,1,2014,0,0,0,2.46
19.78,15.72,77.69,21.66,8.1,0,5.6,37.5,1,2014,0,0,0,-5.04
27.67,13.22,41.64,30,9.2,0,6.2,43.3,1,2014,0,0,0,2.85
26.39,16.5,56.65,31.33,6.9,0,6,36.4,1,2014,0,0,0,1.57
29.17,14.39,40.71,30.56,6.9,0,6.2,42.5,1,2014,0,0,0,4.35
23.28,15.61,62.38,24.77,12.8,0,5.6,56.7,1,2014,0,0,0,-1.54
29.22,13.94,39.39,30.56,11.4,0,6.2,46.7,1,2014,0,0,0,4.4
26.22,14.06,48.44,29.67,18.3,0,6,22.1,1,2014,0,0,0,1.4
24.61,14.78,55.9,28.56,15,0,6,33.3,1,2014,0,0,0,-0.21
27.44,13,40.87,28.56,13.9,0,6.2,47.5,1,2014,0,0,0,2.62
19.78,16.39,80.87,20.91,8.1,0,6.2,42.5,1,2014,0,0,0,-5.04
27.39,12.28,39.4,28.94,12.8,0,6.2,29.4,1,2014,0,0,0,2.57
26,14.44,52.13,29.61,9.2,0,5.6,46.2,1,2014,0,0,0,1.18
28.39,10.67,33.25,28.78,5.8,0,6.2,30,1,2014,0,0,0,3.57
22.5,15.06,64.11,24.31,8.1,0,5.3,45,1,2014,0,0,0,-2.32
28.39,13.28,39.49,29.39,8.1,0,5.5,40,1,2014,0,0,0,3.57
26.89,11.72,40.95,29.61,10.3,0,6,26,1,2014,0,0,0,2.07
25,16.83,61.71,29.06,11.4,0,6.2,47,2,2014,0,0,0,-2.2
29,14.72,42.06,30.28,8.1,0,6.2,60,2,2014,0,0,0,1.8
22,16.5,71.06,23.43,10.3,0,5.6,37.5,2,2014,0,0,0,-5.2
28.56,15.5,45.8,30.28,11.4,0,6.1,24.4,2,2014,0,0,0,1.36
27.56,11.39,38.74,31.11,10.3,0,5.9,12.5,2,2014,0,0,0,0.36
31.17,8.28,24.28,31,5.8,0,6.2,30,2,2014,0,0,0,3.97
25,15.61,57.22,27.61,8.1,0,5.3,15,2,2014,0,0,0,-2.2
31.61,10.33,27.16,31.28,10.3,0,6.2,30,2,2014,0,0,0,4.41
29.67,8.83,30.08,31.61,9.2,0,5.8,15,2,2014,0,0,0,2.47
